sim_time,arrived,tyre_pm,wait_time,delta_wait_time
0,0,0.0,0.0,0.0
1,0,5.660421851067804,0.0,0.0
2,0,4.992124908207913,0.0,0.0
3,0,6.014135126718655,0.0,0.0
4,0,5.431845572802088,0.0,0.0
5,0,6.0724579099945295,0.0,0.0
6,0,8.506892620877736,0.0,0.0
7,0,6.114974712988733,0.0,0.0
8,0,5.552611436620273,0.0,0.0
9,0,12.732389243643587,0.0,0.0
10,0,20.8586683155453,0.0,0.0
11,0,28.665847145243163,0.0,0.0
12,0,25.70229114855629,0.0,0.0
13,0,18.496678303943433,3.0,3.0
14,0,10.139613332029247,7.0,4.0
15,0,4.458117577125969,12.0,5.0
16,0,4.756188517550571,20.0,8.0
17,0,3.626997965992246,28.0,8.0
18,0,4.352408849337198,36.0,8.0
19,0,3.934505500565829,44.0,8.0
20,0,2.2603330058451045,52.0,8.0
21,1,1.8880406352544128,60.0,8.0
22,1,7.976705055262204,68.0,8.0
23,0,10.545849288420424,76.0,8.0
24,1,10.645731307188466,84.0,8.0
25,0,9.712983832383106,93.0,9.0
26,0,4.033712350237925,103.0,10.0
27,1,4.343443752156592,113.0,10.0
28,0,3.3792325066534428,123.0,10.0
29,0,3.3865237671347717,133.0,10.0
30,0,3.52849003722784,143.0,10.0
31,0,3.456303192608736,153.0,10.0
32,0,3.513072154878063,163.0,10.0
33,2,8.578546282154488,173.0,10.0
34,1,15.157485473404172,183.0,10.0
35,0,16.587737516678857,149.0,-34.0
36,1,10.156123415281389,134.0,-15.0
37,0,7.685576704856799,141.0,7.0
38,0,6.96456350982435,148.0,7.0
39,0,5.902768452036048,155.0,7.0
40,0,5.47902623519146,162.0,7.0
41,0,10.03339536428032,169.0,7.0
42,0,8.502904043346541,177.0,8.0
43,1,18.03485152626569,123.0,-54.0
44,1,29.617189338579898,71.0,-52.0
45,1,34.09114501675041,77.0,6.0
46,0,25.50204963666487,83.0,6.0
47,0,17.826078738325982,90.0,7.0
48,0,12.534682459609073,97.0,7.0
49,2,5.361340806832347,105.0,8.0
50,0,11.693267077281861,114.0,9.0
51,0,12.489911873646363,124.0,10.0
52,2,14.863931641474453,134.0,10.0
53,0,15.302440205448626,144.0,10.0
54,1,8.76685364986433,154.0,10.0
55,0,7.335100428616285,166.0,12.0
56,0,5.909069199703253,178.0,12.0
57,2,7.7076090390967105,192.0,14.0
58,1,9.24636902774198,206.0,14.0
59,1,15.226235006495509,221.0,15.0
60,1,19.948734727640442,236.0,15.0
61,2,16.56014991975931,251.0,15.0
62,1,7.933350059359028,266.0,15.0
63,0,7.450465907697975,282.0,16.0
64,0,4.882610757569923,300.0,18.0
65,0,7.117353536922562,319.0,19.0
66,0,3.3462953713456236,339.0,20.0
67,0,5.945724745680258,359.0,20.0
68,0,13.05256322659638,379.0,20.0
69,0,17.805671225976404,399.0,20.0
70,0,19.76469753162288,419.0,20.0
71,0,14.40808153832673,440.0,21.0
72,0,5.768446249594455,462.0,22.0
73,0,9.610941673377493,485.0,23.0
74,0,7.352673710059745,510.0,25.0
75,0,7.990821705660619,536.0,26.0
76,0,8.174092593451846,562.0,26.0
77,0,6.460810317471144,588.0,26.0
78,0,17.884065951072646,486.0,-102.0
79,0,22.320756484455003,510.0,24.0
80,0,22.073893857806418,534.0,24.0
81,0,16.859133173908646,558.0,24.0
82,0,13.894689485704916,584.0,26.0
83,0,18.59464287489655,612.0,28.0
84,0,17.077350851057297,642.0,30.0
85,0,14.141182679360806,672.0,30.0
86,0,8.062899465084291,610.0,-62.0
87,0,12.981218160877738,556.0,-54.0
88,0,19.069326210386023,512.0,-44.0
89,0,22.487629246334144,473.0,-39.0
90,0,16.214116500842252,440.0,-33.0
91,0,14.020634678971831,411.0,-29.0
92,0,13.987620058041692,409.0,-2.0
93,1,19.98804971360959,392.0,-17.0
94,1,18.269210151630496,374.0,-18.0
95,1,23.671939944163164,369.0,-5.0
96,1,25.77046752125998,376.0,7.0
97,0,33.29423833586627,376.0,0.0
98,0,30.208628925477985,378.0,2.0
99,1,23.50205770804343,385.0,7.0
100,0,19.8900522886465,399.0,14.0
101,0,16.99987980792948,414.0,15.0
102,2,23.262814770177812,429.0,15.0
103,0,25.820402864793714,444.0,15.0
104,1,23.208953018189057,459.0,15.0
105,3,28.60740220813842,475.0,16.0
106,0,17.666724599457616,491.0,16.0
107,3,12.50138093813456,508.0,17.0
108,0,11.402569582331278,525.0,17.0
109,1,11.635333916951618,542.0,17.0
110,1,10.685613722214706,559.0,17.0
111,0,11.625392227086676,576.0,17.0
112,1,10.218866547235098,593.0,17.0
113,0,9.327877744504935,610.0,17.0
114,2,10.379419183995777,627.0,17.0
115,1,13.622163283429558,644.0,17.0
116,2,14.684403930639707,662.0,18.0
117,2,17.170078280605757,681.0,19.0
118,0,18.543745619956244,700.0,19.0
119,1,14.080458104520806,719.0,19.0
