sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
1.0,0,0.0,0,0.0,0.0,14.0275325
2.0,0,6.163778931414711,0,0.0,0.0,12.387485826650952
3.0,0,4.771120714070275,0,0.0,0.0,12.287291892725671
4.0,0,8.46929020256369,0,0.0,0.0,12.622213125863283
5.0,0,6.8045292199049605,0,0.0,0.0,12.610689176131368
6.0,0,5.315223199370875,0,0.0,0.0,12.81420160847103
7.0,0,7.774447674226698,0,0.0,0.0,12.748889630356524
8.0,0,6.693218851596843,0,0.0,0.0,13.061643589904195
9.0,0,12.362465024921141,0,0.0,0.0,12.208826917393097
10.0,0,16.66158849774981,0,0.0,0.0,11.304386273439617
11.0,0,22.606418786278844,0,0.0,0.0,9.996816209247173
12.0,0,24.478490797810025,1,1.0,0.07142857142857142,9.172212783595366
13.0,0,27.107105295619622,2,3.0,0.16666666666666666,8.6022843574294
14.0,0,23.1584659388636,3,6.0,0.3333333333333333,7.564796033395327
15.0,0,11.076518416740026,5,11.0,0.6111111111111112,7.173205916324652
16.0,0,5.86341774855319,7,18.0,1.0,7.218359767356621
17.0,0,5.438467458802787,8,26.0,1.4444444444444444,7.24267208835086
18.0,0,5.115359892822564,8,34.0,1.8888888888888888,7.184969590614632
19.0,0,3.232190000160727,8,42.0,2.3333333333333335,7.146999480270698
20.0,0,3.4825254669014165,8,50.0,2.7777777777777777,7.219413076967481
21.0,0,5.057500934841707,8,58.0,3.2222222222222223,7.218264093335232
22.0,0,5.723797985229176,8,66.0,3.3,7.843038300595741
23.0,2,11.594397041490254,8,74.0,3.7,7.02725342032746
24.0,0,12.989406823135372,8,82.0,4.1,6.696754162798238
25.0,0,11.292673149899214,8,90.0,4.090909090909091,7.279024882790105
26.0,1,4.31506026315899,9,99.0,4.714285714285714,6.974641277237636
27.0,0,6.741436188832627,10,109.0,5.190476190476191,6.847478652128002
28.0,0,5.082264557682231,10,119.0,5.666666666666667,6.99620431359204
29.0,0,3.7206696058246775,10,129.0,6.142857142857143,6.952575850076668
30.0,0,5.859327125602029,10,139.0,6.619047619047619,6.918861409857537
31.0,2,4.709158743938047,10,149.0,7.842105263157895,6.2513386650351705
32.0,0,3.622530394977582,10,159.0,7.571428571428571,6.944396111642473
33.0,0,9.980461542412716,10,169.0,7.3478260869565215,6.839643364552608
34.0,0,13.287150951959834,10,179.0,7.782608695652174,6.458043350384862
35.0,1,14.401858671702657,10,189.0,8.590909090909092,6.02140420273986
36.0,1,15.28123843718791,9,155.0,7.380952380952381,5.620620301723754
37.0,0,12.537883197130537,7,141.0,5.64,7.439372615518872
38.0,0,16.91562473711125,6,145.0,5.37037037037037,7.832065813836545
39.0,1,17.88891711938784,6,151.0,5.8076923076923075,8.286208908285621
40.0,0,20.59760434381463,6,157.0,6.038461538461538,8.768217209726501
41.0,1,19.11826996302141,6,163.0,6.52,8.892646112435365
42.0,0,19.841163233439687,6,169.0,6.76,9.255151312149566
43.0,0,25.347338176100553,6,175.0,6.481481481481482,9.303130456909706
44.0,2,28.410736172242807,4,119.0,4.407407407407407,8.636494774652085
45.0,0,31.226032011428163,3,64.0,2.3703703703703702,8.29118453100293
46.0,1,31.01191168197905,4,68.0,2.6153846153846154,7.7815129073140366
47.0,0,29.616733770787732,4,72.0,2.769230769230769,7.5381449294012555
48.0,0,27.264526219124882,5,77.0,2.9615384615384617,7.253651193978934
49.0,1,19.91800751967406,7,84.0,3.111111111111111,7.459795526866602
50.0,0,18.33904761073211,7,91.0,3.3703703703703702,7.7558610518187425
51.0,1,16.669629638412786,7,98.0,3.769230769230769,8.135030929304875
52.0,1,20.579114809162782,8,106.0,4.24,8.141127624609075
53.0,1,18.309075177837432,8,114.0,4.384615384615385,8.451023730510256
