sim_time,arrived,tyre_pm,wait_time,delta_wait_time
0,0,0.0,0.0,0.0
1,0,1.3174692593980581,0.0,0.0
2,0,1.8815349175361917,0.0,0.0
3,0,2.0236722298897805,0.0,0.0
4,0,1.678703023609705,0.0,0.0
5,0,2.289576235227287,0.0,0.0
6,0,2.1703942903317515,0.0,0.0
7,0,2.4832134736236178,0.0,0.0
8,0,0.007037338864428477,0.0,0.0
9,0,0.8080389268929142,0.0,0.0
10,0,1.8394133185967803,0.0,0.0
11,0,2.7805988855194306,0.0,0.0
12,0,1.8897414662642391,0.0,0.0
13,0,2.1236392808612417,0.0,0.0
14,0,1.9665062538348126,0.0,0.0
15,0,4.812458664015866,0.0,0.0
16,0,3.03266805875887,0.0,0.0
17,0,3.4761889968300244,0.0,0.0
18,0,2.262049509631469,0.0,0.0
19,0,3.573235994321294,0.0,0.0
20,0,3.5499881340190758,0.0,0.0
21,0,1.6965694671149816,0.0,0.0
22,0,1.595483413874172,0.0,0.0
23,0,4.882512042624878,0.0,0.0
24,0,5.557777664830365,0.0,0.0
25,0,4.713364057149732,0.0,0.0
26,0,1.1664753924589597,0.0,0.0
27,0,0.5036051458446309,0.0,0.0
28,0,3.281049717613495,0.0,0.0
29,0,3.5252206296427167,0.0,0.0
30,0,5.2001034913817445,0.0,0.0
31,0,4.310308568552136,0.0,0.0
32,0,4.248163196211683,0.0,0.0
33,0,3.1389403642188665,0.0,0.0
34,0,3.160732889676204,0.0,0.0
35,0,8.31061572891361,0.0,0.0
36,0,6.1863060164372605,0.0,0.0
37,0,12.515977419041361,0.0,0.0
38,0,7.654174848084708,0.0,0.0
39,0,7.303181728307022,1.0,1.0
40,0,11.42207534086488,2.0,1.0
41,0,5.441630662473496,3.0,1.0
42,0,3.39947719940408,5.0,2.0
43,0,2.4871564214521245,7.0,2.0
44,0,3.5290257475098072,9.0,2.0
45,0,4.301039533409525,11.0,2.0
46,0,2.8079052398846027,13.0,2.0
47,0,1.262517027741669,15.0,2.0
48,0,2.0363304774276916,17.0,2.0
49,0,7.736951015480912,19.0,2.0
50,0,8.89524353307205,21.0,2.0
51,0,9.868152325646982,23.0,2.0
52,0,3.931664481004963,14.0,-9.0
53,0,2.12253984039399,16.0,2.0
54,0,2.556213091709652,16.0,0.0
55,0,3.8440388195449495,17.0,1.0
56,0,7.921849966969009,18.0,1.0
57,0,8.680777357099577,19.0,1.0
58,0,7.339759155271244,20.0,1.0
59,0,7.415211542882026,21.0,1.0
60,0,7.342581785694842,22.0,1.0
61,0,6.16996461430099,23.0,1.0
62,0,8.882038851125728,24.0,1.0
63,0,13.449880768521687,25.0,1.0
64,0,13.326118161234628,26.0,1.0
65,0,13.668961717499265,1.0,-25.0
66,0,11.658767155363567,2.0,1.0
67,0,3.767957405532696,3.0,1.0
68,0,5.91843053712799,5.0,2.0
69,0,8.28685679382475,7.0,2.0
70,0,4.551948734557278,9.0,2.0
