step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.187065553084777,0,0.0,0.912174887293942,0,0.0,False,,
10.0,0,0.0,0.0,12.284030678133446,0,0.0,0.9180056060019998,0,0.0,False,,
15.0,2,2.0,0.1111111111111111,7.535822844662503,2,2.0,0.43760845682836097,2,2.0,False,,
20.0,8,33.0,1.8333333333333333,7.191585657110589,8,33.0,0.3759219247604354,8,33.0,False,,
25.0,9,74.0,3.3636363636363638,5.820009066166393,9,74.0,0.29932525570768326,9,74.0,False,,
30.0,12,130.0,6.5,5.086980840700356,12,130.0,0.28754996827198004,12,130.0,False,,
35.0,13,191.0,8.304347826086957,4.279471886336331,13,191.0,0.17872582065639192,13,191.0,False,,
40.0,16,269.0,9.607142857142858,4.527801583914594,16,269.0,0.25257399154392285,16,269.0,False,,
45.0,20,363.0,11.709677419354838,4.489549520425212,20,363.0,0.27623371310483197,20,363.0,False,,
50.0,24,468.0,14.625,2.3294396988600514,24,468.0,0.10981665304664552,24,468.0,False,,
55.0,26,594.0,16.5,2.81358466101028,26,594.0,0.16005127835982,26,594.0,False,,
60.0,28,734.0,20.97142857142857,1.327499634952669,28,734.0,0.04931888746192506,28,734.0,False,,
65.0,32,886.0,22.15,2.4248898676441817,32,886.0,0.14341632747842,32,886.0,False,,
70.0,32,1046.0,26.15,1.2489869910396176,32,1046.0,0.05187264550832684,32,1046.0,False,,
75.0,36,1224.0,24.48,3.5079846414383313,36,1224.0,0.22273605988726652,36,1224.0,False,,
80.0,38,1406.0,28.12,2.468337426871806,38,1406.0,0.14931326072077125,38,1406.0,False,,
85.0,44,1612.0,29.30909090909091,1.961573255026955,44,1612.0,0.09459187696799773,44,1612.0,False,,
90.0,48,1845.0,34.166666666666664,1.0338171063751629,48,1845.0,0.03661018470156124,48,1845.0,False,,
95.0,50,2095.0,38.09090909090909,0.9229376004117709,50,2095.0,0.03156556881022575,50,2095.0,False,,
100.0,52,2353.0,42.017857142857146,1.0051566746173985,52,2353.0,0.0351640427440184,52,2353.0,False,,
105.0,52,2613.0,47.50909090909091,0.7612062911279981,52,2613.0,0.0350512896768346,52,2613.0,False,,
110.0,52,2873.0,47.88333333333333,1.9416342707434466,52,2873.0,0.09989775143392078,52,2873.0,False,,
115.0,52,3133.0,52.21666666666667,1.6695902762902202,52,3133.0,0.08203517296925542,52,3133.0,False,,
120.0,56,3401.0,58.63793103448276,0.48069032874379414,56,3401.0,0.015959159095942865,56,3401.0,False,,
125.0,56,3681.0,61.35,0.9383963714792606,56,3681.0,0.03304399100110298,56,3681.0,False,,
130.0,56,3961.0,67.13559322033899,0.6695537615464293,56,3961.0,0.03365754935928637,56,3961.0,False,,
135.0,56,4241.0,70.68333333333334,0.8699516163817123,56,4241.0,0.033498260558233704,56,4241.0,False,,
140.0,56,4521.0,75.35,0.8803705673323615,56,4521.0,0.03444947567525811,56,4521.0,False,,
145.0,56,4801.0,75.015625,1.7269837591176307,56,4801.0,0.10939364476538178,56,4801.0,False,,
150.0,56,5081.0,76.98484848484848,1.8404651253480335,56,5081.0,0.10699602961699102,56,5081.0,False,,
155.0,58,5366.0,82.55384615384615,0.83465218607317,58,5366.0,0.015980200862754132,58,5366.0,False,,
160.0,62,5672.0,84.65671641791045,1.0106404535623972,62,5672.0,0.029620831897472662,62,5672.0,False,,
165.0,62,5982.0,92.03076923076924,0.6206985565309422,62,5982.0,0.029908739637834324,62,5982.0,False,,
170.0,62,6292.0,95.33333333333333,0.8087917234084123,62,6292.0,0.030619463635499566,62,6292.0,False,,
175.0,62,6602.0,100.03030303030303,0.8069507702139607,62,6602.0,0.03000845161780376,62,6602.0,False,,
180.0,62,6912.0,108.0,0.40660820993071245,62,6912.0,0.0,62,6912.0,False,,
185.0,62,7222.0,103.17142857142858,1.3797723358279521,62,7222.0,0.07493965367077333,62,7222.0,False,,
190.0,64,7536.0,107.65714285714286,0.7470975095925813,64,7536.0,0.01421692872631151,64,7536.0,False,,
195.0,66,7864.0,112.34285714285714,0.7562819255753784,66,7864.0,0.028199167998481697,66,7864.0,False,,
200.0,66,8194.0,117.05714285714286,0.754859254726156,66,8194.0,0.027492496049283076,66,8194.0,False,,
205.0,66,8524.0,120.05633802816901,0.8968624291456533,66,8524.0,0.029411764705882353,66,8524.0,False,,
210.0,66,8854.0,126.48571428571428,0.7425114939744073,66,8854.0,0.02774760520534016,66,8854.0,False,,
215.0,66,9184.0,133.1014492753623,0.5603631415047253,66,9184.0,0.028503462696662048,66,9184.0,False,,
220.0,66,9514.0,125.1842105263158,1.5634940100400898,66,9514.0,0.09063982451545072,66,9514.0,False,,
225.0,68,9848.0,129.57894736842104,1.0384073505330402,68,9848.0,0.05269078345661209,68,9848.0,False,,
230.0,72,10202.0,134.23684210526315,0.7597469393074152,72,10202.0,0.026090443029860196,72,10202.0,False,,
235.0,72,10562.0,138.97368421052633,0.7493825603643909,72,10562.0,0.02622339531591301,72,10562.0,False,,
240.0,72,10922.0,147.59459459459458,0.3591158192715638,72,10922.0,0.0,72,10922.0,False,,
245.0,72,11282.0,148.44736842105263,0.735490794405073,72,11282.0,0.026163340936641192,72,11282.0,False,,
250.0,72,11642.0,153.18421052631578,0.752419764161283,72,11642.0,0.013632675341236744,72,11642.0,False,,
255.0,72,12002.0,150.025,1.1798874517062423,72,12002.0,0.05882390891213667,72,12002.0,False,,
260.0,74,12368.0,154.6,0.7216614422196714,74,12368.0,0.024173479343303998,74,12368.0,False,,
