step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,
5.0,0,0.0,0.0,13.121559812110817,0,0.0,0.93143175004045,0,0.0,False
10.0,0,0.0,0.0,12.00724686891004,0,0.0,0.8488134340858228,0,0.0,False
15.0,4,5.0,0.2777777777777778,6.660317190275059,4,5.0,0.42366439328385197,4,5.0,False
20.0,9,47.0,2.611111111111111,6.583418742750175,9,47.0,0.3581325774587427,9,47.0,False
25.0,11,96.0,4.363636363636363,4.046622265856937,11,96.0,0.23012131511105777,11,96.0,False
30.0,15,169.0,8.047619047619047,3.1830140546935777,15,169.0,0.24694401553198894,15,169.0,False
35.0,18,249.0,9.96,2.147521371825883,18,249.0,0.17472949334370225,18,249.0,False
40.0,21,348.0,11.225806451612904,3.388810033805899,21,348.0,0.2622234402219893,21,348.0,False
45.0,23,456.0,13.028571428571428,3.4556583961517173,23,456.0,0.25333580098287434,23,456.0,False
50.0,29,586.0,15.837837837837839,1.3250631344990351,29,586.0,0.0922698293594766,29,586.0,False
55.0,35,750.0,18.29268292682927,1.8599330462344597,35,750.0,0.13546608369641397,35,750.0,False
60.0,37,928.0,22.634146341463413,0.21792084671541492,37,928.0,0.017853291090892388,37,928.0,False
65.0,41,1128.0,24.0,1.5168232656873653,41,1128.0,0.1093196455025562,41,1128.0,False
70.0,41,1333.0,28.361702127659573,0.16523890358784105,41,1333.0,0.012720622604308193,41,1333.0,False
75.0,47,1559.0,26.423728813559322,2.5473865829185027,47,1559.0,0.18233190771628308,47,1559.0,False
80.0,49,1796.0,30.440677966101696,1.4283421785299764,49,1796.0,0.10354351858221912,49,1796.0,False
85.0,55,2057.0,31.646153846153847,1.280146178041606,55,2057.0,0.07015954608108545,55,2057.0,False
90.0,59,2344.0,36.06153846153846,0.7598788906460947,59,2344.0,0.030166000760945062,59,2344.0,False
95.0,62,2650.0,40.76923076923077,0.2645203737230138,62,2650.0,0.006819264888668182,62,2650.0,False
100.0,64,2968.0,44.96969696969697,0.4152837845107984,64,2968.0,0.030085859548509456,64,2968.0,False
105.0,64,3288.0,49.81818181818182,0.027968467976508912,64,3288.0,0.0022278842020055658,64,3288.0,False
110.0,66,3617.0,50.236111111111114,1.0105077838646728,66,3617.0,0.0737568120327951,66,3617.0,False
115.0,66,3947.0,54.81944444444444,0.8102008878405856,66,3947.0,0.05885388034665305,66,3947.0,False
120.0,70,4287.0,59.541666666666664,0.02290464558141704,70,4287.0,0.001556959842506053,70,4287.0,False
125.0,72,4644.0,62.75675675675676,0.2706784736174675,72,4644.0,0.020967547491688412,72,4644.0,False
130.0,74,5007.0,67.66216216216216,0.0006753384105845203,74,5007.0,5.5107123744486445e-05,74,5007.0,False
